name,rating,reviews,salary
ICICI Lombard General Insurance Company,3.5,5.9k Reviews,20.5k Salaries
Manappuram Finance,3.9,5.9k Reviews,9.7k Salaries
Firstsource Solutions,3.5,5.9k Reviews,25.2k Salaries
GlobalLogic,3.5,5.9k Reviews,41.9k Salaries
Aurobindo Pharma,4.0,5.8k Reviews,20.4k Salaries
Shapoorji Pallonji Group,4.1,5.8k Reviews,15.5k Salaries
Tata Capital,3.9,5.8k Reviews,16.4k Salaries
UST,3.7,5.8k Reviews,41.4k Salaries
Standard Chartered,3.6,5.8k Reviews,42.4k Salaries
Swiggy,3.7,5.7k Reviews,24.6k Salaries
Mahindra Finance,3.8,5.7k Reviews,12.3k Salaries
Apollo Hospitals,4.0,5.7k Reviews,17k Salaries
Udaan,3.9,5.7k Reviews,14.8k Salaries
Bosch Global Software Technologies,3.7,5.7k Reviews,41.4k Salaries
Citicorp,3.6,5.6k Reviews,55k Salaries
Ashok Leyland,4.0,5.6k Reviews,18.9k Salaries
Hero MotoCorp,4.1,5.5k Reviews,16.3k Salaries
CGI Inc,4.0,5.5k Reviews,47.8k Salaries
SBI Cards & Payment Services,3.6,5.4k Reviews,16.2k Salaries
Cyient,3.6,5.4k Reviews,27.6k Salaries
NTT DATA,3.8,5.4k Reviews,39.3k Salaries
Kalpataru Projects International,4.2,5.4k Reviews,14.1k Salaries
BNY,3.6,5.4k Reviews,32.3k Salaries
IQVIA,3.7,5.3k Reviews,32.3k Salaries
Nagarjuna Construction Company,4.0,5.3k Reviews,12.7k Salaries
Schneider Electric,4.1,5.3k Reviews,26.2k Salaries
SBI Life Insurance Company,3.7,5.2k Reviews,12k Salaries
JustDial,3.4,5.2k Reviews,15.3k Salaries
CBRE,4.1,5.2k Reviews,19.4k Salaries
TVS Motor,3.8,5.2k Reviews,16.6k Salaries
Persistent Systems,3.6,5.1k Reviews,47.2k Salaries
State Bank of India,3.8,5.1k Reviews,11.8k Salaries
KEC International,4.0,5k Reviews,13.7k Salaries
Atos,3.8,5k Reviews,33.5k Salaries
ITC Infotech,3.8,5k Reviews,30.3k Salaries
Amdocs,3.6,5k Reviews,37.7k Salaries
